hit_ratio,full80_ratio,mean_best_cover,mean_best_iou,mean_best_pred_to_gt_ratio,avg_span_ratio,num_pred_spans,gt_lift,wide_single_flag,raw_span_count,final_span_count,merge_compression,merge_to_single_flag,merge_to_single_rate,scheme,boundary,coverage_rank,vlm_ready_rank,method,high_z,low_z,peak_gap,peak_expand_left,peak_expand_right,peak_expand_sum,merge_gap,min_span_len
1.0,0.7659574468085106,0.868697204122457,0.5705671082262253,1.6199708163345503,0.8251233136775126,1.7872340425531914,0.6045345284559942,0.2978723404255319,4.9361702127659575,1.7872340425531914,0.2192916582157209,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp8_12_mg8_min8,0.7537900079141638,0.6480873688538185,by_thres,1.2,0.0,4,8,12,20,8,8
1.0,0.7659574468085106,0.868697204122457,0.5705671082262253,1.6199708163345503,0.8270327517571634,1.8085106382978724,0.6045345284559942,0.2978723404255319,4.9361702127659575,1.8085106382978724,0.2139725092795507,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp8_12_mg8_min4,0.7537900079141638,0.6475145374299233,by_thres,1.2,0.0,4,8,12,20,8,4
1.0,0.7659574468085106,0.868697204122457,0.5705671082262253,1.6199708163345503,0.8270327517571634,1.8085106382978724,0.6045345284559942,0.2978723404255319,4.9361702127659575,1.8085106382978724,0.2139725092795507,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp8_12_mg8_min6,0.7537900079141638,0.6475145374299233,by_thres,1.2,0.0,4,8,12,20,8,6
1.0,0.7659574468085106,0.8670615414843669,0.5703601181499739,1.6039791856483776,0.8256411636549293,1.872340425531915,0.6045345284559942,0.2978723404255319,4.9787234042553195,1.872340425531915,0.21887265858899452,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp8_12_mg4_min8,0.7530657713924407,0.6474081966569661,by_thres,1.0,0.0,4,8,12,20,4,8
1.0,0.7659574468085106,0.8706314400992462,0.5675127072968129,1.6505194639044747,0.8280021901715375,1.7659574468085106,0.6045345284559942,0.2978723404255319,4.9787234042553195,1.7659574468085106,0.2249586302880681,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp8_12_mg8_min8,0.7540525948571211,0.6473152725499417,by_thres,1.0,0.0,4,8,12,20,8,8
1.0,0.7659574468085106,0.8706314400992462,0.5674804700305331,1.6506280179643964,0.8281448739210121,1.7659574468085106,0.6045345284559942,0.2978723404255319,5.0212765957446805,1.7659574468085106,0.22555377981938785,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp8_12_mg8_min8,0.7540467921491908,0.6472673094624946,by_thres,0.8,0.0,4,8,12,20,8,8
1.0,0.7659574468085106,0.8651273055075777,0.5691785093763897,1.5997729899528197,0.8236704345402506,1.872340425531915,0.6045345284559942,0.2978723404255319,4.9361702127659575,1.872340425531915,0.21507771022517716,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp8_12_mg4_min8,0.7520407027029441,0.6472300871945595,by_thres,1.2,0.0,4,8,12,20,4,8
1.0,0.7659574468085106,0.8670615414843669,0.5703601181499739,1.6039791856483776,0.8275506017345803,1.8936170212765957,0.6045345284559942,0.2978723404255319,4.9787234042553195,1.8936170212765957,0.21355350965282432,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp8_12_mg4_min4,0.7530657713924407,0.646835365233071,by_thres,1.0,0.0,4,8,12,20,4,4
1.0,0.7659574468085106,0.8670615414843669,0.5703601181499739,1.6039791856483776,0.8275506017345803,1.8936170212765957,0.6045345284559942,0.2978723404255319,4.9787234042553195,1.8936170212765957,0.21355350965282432,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp8_12_mg4_min6,0.7530657713924407,0.646835365233071,by_thres,1.0,0.0,4,8,12,20,4,6
1.0,0.7659574468085106,0.8706314400992462,0.5675127072968129,1.6505194639044747,0.8299116282511885,1.7872340425531914,0.6045345284559942,0.2978723404255319,4.9787234042553195,1.7872340425531914,0.2196394813518979,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp8_12_mg8_min4,0.7540525948571211,0.6467424411260465,by_thres,1.0,0.0,4,8,12,20,8,4
